property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.993305,-38.45739",155,296448.85
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,198,218435.99
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",195,452474.56
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",127,180989.82
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",128,152905.19
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,111,174748.79
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",186,234038.56
apartment,|Brasil|Bahia|Salvador|Jaguaribe|,Northeast,"-12.94999,-38.391624",212,415028.39
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",98,227797.54
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",55,140423.14
apartment,|Brasil|Bahia|Salvador|Vitória|,Northeast,"-12.993533,-38.526047",168,312051.42
apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",180,277725.76
apartment,|Brasil|Bahia|Salvador|Boca do Rio|,Northeast,"-12.970389,-38.424129",75,85703.4
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.951526,-38.392464",116,208450.35
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.951526,-38.392464",143,253385.75
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",210,327653.99
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139,234038.56
apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",75,131061.59
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.984901,-38.439594",128,234038.56
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",59,145790.42
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.981397,-38.441444",70,126880.1
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.002345,-38.528343",90,131061.59
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",170,202833.42
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",230,405666.85
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,,210,246520.62
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992472,-38.52298",100,227797.54
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992102,-38.521461",185,212194.96
apartment,|Brasil|Bahia|Salvador|Engenho Velho de Brotas|,Northeast,"-12.982599,-38.499725",67,131061.59
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",103,186669.16
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",122,249641.14
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",230,296448.85
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",166,187230.85
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",102,265243.71
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",164,414404.29
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",120,98296.19
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.970966,-38.436806",89,160706.48
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.968704,-38.435516",109,146664.17
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",71,106097.48
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,,63,106097.48
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",100,109217.99
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.99183,-38.477451",100,146664.17
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.002883,-38.486099",156,390064.28
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,,210,480840.04
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.994513,-38.479004",140,234038.56
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",73,81133.37
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,,120,121700.05
apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71,81133.37
apartment,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",71,78012.85
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.941992,-38.403465",143,296448.85
apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",158,180989.82
apartment,|Brasil|Bahia|Salvador|Pernambués|,Northeast,"-12.999527,-38.46265",75,77388.75
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",128,235843.06
house,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",156,193471.88
house,|Brasil|Bahia|Lauro de Freitas|,Northeast,"-12.852844,-38.32711",170,171628.28
